C:\Agilent\ICPMH\1\DATA\181022\181022a_grt_nogas.b\002.d
Intensity Vs Time,CPS
Acquired      : 10/22/2018 12:43:29 PM using Batch 181022a_grt_nogas.b
Time [Sec],Li7,Mg24,Al27,Si29,Ca43,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Zn66,Ga71,Y89,Zr90,Nb93,In115,Sn118,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Pb208,Th232,U238
6.4865,1800.08,2600.18,20511.05,1319095.76,4200.47,2200.13,0.00,0.00,12604.27,321253.85,5500.82,200.00,2400.16,200.00,1400.05,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.8915,1400.05,2200.13,10502.90,1319940.23,4800.61,1000.03,0.00,1000.03,13204.68,273498.54,1500.06,600.01,1000.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.2965,2000.10,1000.03,15506.31,1330520.02,6000.96,3000.24,0.00,1400.05,14805.89,277558.07,2000.11,0.00,400.00,400.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.7015,2000.10,1000.03,11503.48,1303194.21,3200.27,3000.24,0.00,2200.13,16807.59,275528.17,5500.82,200.00,1800.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.1065,3000.23,2600.18,14005.15,1330328.81,5200.72,1200.04,0.00,200.00,21412.31,286187.50,1500.06,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.5120,2800.20,800.02,15005.91,1385315.04,6601.16,1400.05,400.00,1000.03,11603.62,286695.22,1000.03,600.01,1200.04,400.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.9160,1800.08,3200.27,11503.48,1351169.72,6601.16,800.02,200.00,3400.31,18008.71,298377.04,2000.11,0.00,400.00,600.01,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.3210,1800.08,2200.13,14505.53,1309918.11,4600.56,2000.11,0.00,600.01,14805.89,273498.54,1000.03,0.00,1600.07,200.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.7260,3000.23,400.00,19009.49,1336718.12,5000.67,2800.21,200.00,2200.13,15006.05,270961.73,1000.03,400.00,800.02,0.00,600.01,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.1309,3400.30,3200.27,9502.37,1325198.25,6201.02,1200.04,0.00,1400.05,18809.50,285679.78,4000.43,600.01,1400.05,600.01,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
