Time,7Li,11B,23Na,24Mg,27Al,28Si,31P,35Cl,39K,44Ca,49Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,107Ag,118Sn,121Sb,137Ba,139La,140Ce,141Pr,143Nd,147Sm,151Eu,157Gd,159Tb,163Dy,165Ho,167Er,169Tm,171Yb,175Lu,178Hf,181Ta,207Pb,209Bi,232Th,238U,
,dwell time=0.03;xcal factor=73312.10865,dwell time=0.03;xcal factor=75018.26876,dwell time=0.01;xcal factor=80136.7491,dwell time=0.01;xcal factor=80563.28912,dwell time=0.01;xcal factor=81842.90921,dwell time=0.0001;xcal factor=79194.47649,dwell time=0.01;xcal factor=77409.40446,dwell time=0.01;xcal factor=79136.12583,dwell time=0.01;xcal factor=80862.84721,dwell time=0.01;xcal factor=83021.24893,dwell time=0.01;xcal factor=84482.58645,dwell time=0.01;xcal factor=84881.61368,dwell time=0.01;xcal factor=85081.12729,dwell time=0.01;xcal factor=85679.66813,dwell time=0.01;xcal factor=85774.59228,dwell time=0.01;xcal factor=85869.51643,dwell time=0.01;xcal factor=85893.54382,dwell time=0.01;xcal factor=85965.62601,dwell time=0.01;xcal factor=86566.6987,dwell time=0.01;xcal factor=87139.0755,dwell time=0.01;xcal factor=87724.36904,dwell time=0.01;xcal factor=87842.53053,dwell time=0.01;xcal factor=87814.36864,dwell time=0.01;xcal factor=87940.42295,dwell time=0.05;xcal factor=88059.77389,dwell time=0.05;xcal factor=88119.44936,dwell time=0.05;xcal factor=88082.29883,dwell time=0.05;xcal factor=88007.99776,dwell time=0.05;xcal factor=87859.39564,dwell time=0.05;xcal factor=87710.79352,dwell time=0.05;xcal factor=87487.89033,dwell time=0.05;xcal factor=87413.58927,dwell time=0.05;xcal factor=87264.98715,dwell time=0.05;xcal factor=87190.68608,dwell time=0.05;xcal factor=87135.91067,dwell time=0.05;xcal factor=87081.13525,dwell time=0.05;xcal factor=87026.35984,dwell time=0.05;xcal factor=86916.809,dwell time=0.05;xcal factor=86834.64588,dwell time=0.01;xcal factor=86752.48275,dwell time=0.001;xcal factor=86224.29967,dwell time=0.01;xcal factor=86353.42158,dwell time=0.01;xcal factor=87838.32355,dwell time=0.01;xcal factor=88225.68928,
526.73383,21117.8234429859,11738.842763537,1996572.37777887,3504065.34964333,10001577.254325,89689690.1661349,78445.377139693,5001.00020004001,10423590.2788039,884633.225101054,70397.6766761065,14308.184281409,78143.4951308277,187698.730942987,239981.746445201,7902.49718911176,21718.8519635043,14195036.7433714,264979.100809288,209745.079057761,27830.9480141918,2352824.11527519,1607293.37840254,45081.1460629132,19314.911111378,36854.249455198,5041.01626887981,2560.26217084629,500.010000200004,680.018496503105,580.013456312186,620.015376381334,880.030977090394,780.024336759307,520.010816224977,180.001296009331,200.0016000128,220.001936017037,2260.20432247075,1200.05760276493,267245712.645478,18713.9980705568,11505.2924345199,3400.46246289495,
527.85687,20616.9883984403,10270.8845765995,2109322.13682183,4121180.144325,11799665.9695928,54448148.1293013,84283.191523519,4900.9605882753,8597707.18884312,747395.393481995,55422.5947796526,20016.0128102482,81363.9446364005,248342.698785252,257015.388594336,7702.37233067785,24824.6260290208,10449514.418052,215237.265296572,197345.610823973,33444.6820952793,2308902.85000785,2117673.3470151,41669.3377780627,17732.5688447972,39602.6355283516,5141.05700131947,2280.20795496549,700.019600548815,460.00846415574,680.018496503105,800.025600819226,920.033857245947,780.024336759307,400.006400102402,440.007744136297,300.003600043201,240.002304022119,1580.0998623113,1000.04000160006,345261458.988252,17111.7044058136,8002.56081946223,2400.23042212052,
528.98001,17579.0188572504,11672.1136530381,2604008.93591944,3317964.15176936,8823039.36175076,60704511.7717954,80156.1791485588,5001.00020004001,6147562.91843513,861926.279027426,72912.0281779415,27029.191526849,81565.2501936297,237841.417518696,299136.995838798,4000.64010241639,16510.8971921468,10792517.2658377,221647.841228718,244365.457629857,47791.1855820906,2466140.97966495,1969181.77660024,31539.7400724913,16150.4267154875,39562.5087638469,5221.09016362617,2960.35050549985,660.017424460006,520.010816224977,720.020736597214,760.023104702383,920.033857245947,780.024336759307,580.013456312186,260.002704028122,340.004624062887,280.003136035124,1940.15055568312,1600.10240655402,426036382.920514,27430.063349431,6601.74286011507,2100.17641481884,
530.10298,12940.0276409663,11004.8421305374,2570351.50129952,3669220.09234535,9188877.16590401,50805202.2108871,62958.150874998,5201.0818250196,7575600.80013167,968845.695196387,86901.0251511235,30236.5257230735,82974.4795784455,170251.581698609,206186.606440685,5001.00020004001,18513.7001381022,11643576.9633512,302516.891960277,233867.483840231,51706.7226756024,3535184.57627217,1669511.41455089,25526.0365572884,16651.0829608187,38980.6851306113,5781.33664503233,2680.28732680143,600.014400345608,280.003136035124,620.015376381334,940.035345328984,600.014400345608,800.025600819226,720.020736597214,380.005776087797,220.001936017037,180.001296009331,1900.14441097523,1400.07840439065,268340761.251306,18413.5523745477,6601.74286011507,3100.38444767151,
531.22591,18647.2317367211,11838.9370968925,1872011.83228425,2603367.77724895,10503274.2877611,60229344.9128718,67079.5047547236,5401.16665199683,8932479.37628501,872203.732220622,62556.1401257539,18613.8487034354,79351.066775277,145744.736492712,239981.746445201,4900.9605882753,20016.0128102482,12218687.0013679,336981.858720989,251402.967948899,37556.3345017526,1954019.02664769,2028663.35691674,31038.4877247787,19254.818508324,27710.681266298,5481.20147936428,2760.30473764304,580.013456312186,200.0016000128,920.033857245947,560.012544280992,1160.05382649755,580.013456312186,460.00846415574,180.001296009331,400.006400102402,420.007056118543,1680.11290358712,1100.04840212969,245801729.317176,15809.9919148902,7102.01697282028,2700.2916314962,
532.34891,19014.4509827469,12139.22490382,2050263.99967256,3211620.61012709,12551802.3052009,70603821.3327037,82169.1862541687,6401.6388195378,10078305.921225,885062.041316701,56326.6222468108,20016.0128102482,79954.8962091147,192673.56744381,265183.364594787,7902.49718911176,24924.8251258253,13392977.4526844,218086.007795415,172988.778888522,40866.6944453348,2423098.13970295,2426354.75221934,38158.1530252104,16330.6606552758,30557.3043571592,6021.44996515161,2980.35525834679,620.015376381334,320.004096052429,620.015376381334,560.012544280992,900.032401166442,820.026896882218,400.006400102402,240.002304022119,400.006400102402,300.003600043201,1360.07398802495,800.025600819226,384881524.687307,24023.0621396541,9703.76506084361,4100.67251029169,
533.47209,16243.8810267467,10170.8027931359,2662508.76275884,3948774.70560192,14382628.1841513,74167572.7746307,85894.1014032046,4600.84655576626,5884758.66500852,881096.033359698,67682.7434071994,20717.1538033492,80760.047352475,191048.914971141,329280.648429585,6001.44034568296,22620.4488857928,9242557.02885106,266000.452766728,196329.801815748,43575.8219301585,2576408.71326271,1864388.56651623,47791.1855820906,15069.0776123537,39622.6989588325,4280.73286146588,2620.27460477858,820.026896882218,460.00846415574,620.015376381334,400.006400102402,860.029585017725,760.023104702383,360.005184074651,500.010000200004,340.004624062887,260.002704028122,1640.10759105797,1100.04840212969,314729434.474574,24724.4277346018,10304.2453490838,3000.36004320518,
534.59509,13373.8172009301,12606.3536022155,3589690.94978871,3688555.28173485,8994909.47108451,53022647.5525305,59440.9940378578,4900.9605882753,6695813.02250662,954502.794780861,87001.7219717982,20516.8237955123,83679.1536565984,182827.326389588,204661.854256563,4000.64010241639,22720.6303323418,8690657.70985748,297396.189604996,265183.364594787,41769.6718125834,2599661.62607768,1873629.44489831,28131.6199408135,16130.400882489,36974.604095328,4920.96844659029,1980.15682842081,680.018496503105,480.009216176951,480.009216176951,460.00846415574,960.036865415632,700.019600548815,620.015376381334,340.004624062887,400.006400102402,180.001296009331,2180.19011257782,900.032401166442,322265438.265863,18213.259252736,6901.90492575951,4500.81014582625,
535.71822,16878.0537269144,12572.9866879752,1892824.5641211,2596922.71411911,7955504.5241614,86838689.0125933,65269.9629836093,5201.0818250196,9238949.56720403,914147.466011004,86699.6339348789,27029.191526849,78948.529972353,136743.886743887,201511.284228693,4900.9605882753,23421.922919853,12281441.9083562,331744.526316643,278263.12042969,40465.3920735909,1995741.15187588,1476543.90022791,32141.2693898966,17071.649693751,32161.3208650474,6081.47901569662,1960.1536760482,580.013456312186,480.009216176951,640.016384419441,580.013456312186,860.029585017725,440.007744136297,480.009216176951,280.003136035124,360.005184074651,300.003600043201,2040.16647758457,700.019600548815,211027469.25966,19114.6035571176,7202.07419736884,4400.77453631839,
536.84122,17044.9466236329,8636.31574103591,2152839.03851424,2492190.4382593,10752076.731749,77968907.6460194,68989.8600949814,5801.34591225164,9355392.06718382,874238.779895096,58838.151980851,14107.9568876847,76835.4237383343,147060.006920471,238962.496920847,5301.12383825371,22620.4488857928,14183001.5557298,271414.997068516,174205.502074355,30437.0114058695,1892014.57762326,1475534.48809025,37155.1382251261,18653.9083540688,33705.3809248773,4640.86134386542,2280.20795496549,600.014400345608,360.005184074651,580.013456312186,720.020736597214,880.030977090394,1020.041617698,300.003600043201,260.002704028122,280.003136035124,300.003600043201,1780.12674502425,1200.05760276493,249224834.014135,21518.505915087,9303.46088745013,4100.67251029169,
537.96423,11738.842763537,9637.04680870362,2351578.17627,3662775.02921551,10511458.5786818,57378343.7593302,79753.6165004715,5201.0818250196,5544326.07826207,596396.027439337,78546.0060910773,21017.6548300572,79652.977857676,176335.050695068,230913.318692675,6101.48876325823,22920.9956319989,9074924.05812871,198666.284990868,219205.332752283,36653.6609596449,2855283.38993364,1981290.09419708,39361.8768704403,14748.695831062,35470.2542562302,4500.81014582625,2580.26628348046,640.016384419441,320.004096052429,440.007744136297,560.012544280992,900.032401166442,700.019600548815,480.009216176951,240.002304022119,240.002304022119,560.012544280992,1260.06350720076,1300.06760351538,297217279.211292,21718.8519635043,7502.25067520256,2900.33643902693,
539.08716,14241.4414606716,12673.0876977669,2564741.92886286,3218871.30614815,9649652.74473685,51359563.5462979,56427.0737701303,3100.38444767151,7292580.83490302,795640.743079545,84685.8995970396,26427.9078707115,81766.5589822822,163056.606812143,200901.587455193,2600.27042812453,17812.6826300326,11886000.0287035,243651.726463829,263242.991976394,37756.9374616922,2493372.1641307,1740141.44465219,23221.549598027,14628.5547788347,32542.3049964954,4500.81014582625,2140.18319968189,680.018496503105,300.003600043201,700.019600548815,660.017424460006,700.019600548815,900.032401166442,480.009216176951,300.003600043201,320.004096052429,380.005776087797,1940.15055568312,700.019600548815,243249490.0469,16611.0297237366,5501.21026625858,2200.1936170383,
540.2102,17178.4625442804,10871.3920984321,1763500.58023269,2129655.6372061,6052656.88510927,35837446.1547937,55322.1513100927,3800.57768780855,8599324.44578729,1050567.27715303,70699.3722296877,20216.3347985172,78747.266416548,124921.107747722,176030.807405378,6801.85010322808,20416.6599945556,14681602.1865963,294427.131814319,223683.626398906,32542.3049964954,1704152.17521342,1226343.83785825,21117.8234429859,15809.9919148902,31399.387391544,5761.32740983523,2260.20432247075,440.007744136297,360.005184074651,520.010816224977,540.011664251948,860.029585017725,440.007744136297,480.009216176951,280.003136035124,260.002704028122,240.002304022119,1560.09735007464,600.014400345608,271229275.290302,14708.648685427,9703.76506084361,2700.2916314962,
541.33324,16644.4074123984,9270.10278476555,1440141.63455071,3900436.73212816,8317250.18285433,59833372.5304355,89620.1230796405,5201.0818250196,7256192.55365934,720376.299393411,47590.4218014227,11605.3848985929,73616.1369781679,179580.770052011,196329.801815748,6401.6388195378,22520.2682414173,11587699.3064437,239777.889954568,203543.819889427,25626.2412710616,2013751.94741128,1692583.90267227,30737.7459520291,14828.7905070126,28893.3544884214,4900.9605882753,2060.16975798806,640.016384419441,260.002704028122,600.014400345608,580.013456312186,780.024336759307,660.017424460006,380.005776087797,380.005776087797,160.001024006554,220.001936017037,1760.12391272346,1100.04840212969,235782465.695348,17912.8255831175,10304.2453490838,2700.2916314962,
542.45621,12306.0545788528,8769.74192283428,1790230.35311667,3184229.09182529,8989180.46744005,49617285.0635781,71403.3567600526,4900.9605882753,5818451.13029781,616958.836621185,47088.5264296878,19615.3784567101,81263.2930695453,224803.448331531,245793.04104764,5501.21026625858,19515.221873061,8994116.36967794,186480.703125944,147464.733195458,47590.4218014227,2655880.84561989,2038719.44624703,31940.756405173,12266.0152538805,36352.7842427204,4640.86134386542,2800.31363512713,500.010000200004,520.010816224977,220.001936017037,560.012544280992,740.021904648378,800.025600819226,300.003600043201,200.0016000128,260.002704028122,320.004096052429,1360.07398802495,1300.06760351538,344597531.880782,18012.9693379233,6101.48876325823,3000.36004320518,
543.57931,10137.4423766433,12172.5906607883,2313687.87228557,2737102.83719302,8011976.13151392,51280369.0698107,58536.7418289123,4700.88376614804,4611168.82147961,649338.657452056,60847.7383086133,19815.6940296715,80256.8218298555,167920.364673099,195923.501144903,4000.64010241639,17011.567866149,8416427.36288091,254770.120980451,234478.77679397,43074.0874303803,2284117.15145086,1745977.40499829,28532.5270808722,14808.7667899396,32462.0968471914,3660.53590245612,2060.16975798806,540.011664251948,300.003600043201,740.021904648378,540.011664251948,540.011664251948,640.016384419441,500.010000200004,280.003136035124,280.003136035124,260.002704028122,1720.11834414208,900.032401166442,270703307.062306,17812.6826300326,4400.77453631839,2100.17641481884,
544.70242,15309.3693340324,11972.3974542481,1830828.40719324,2134489.43455348,6174602.81982702,28789137.747427,52610.4820122257,5301.12383825371,6426539.74130336,945236.869634525,70900.5066327574,16510.8971921468,74219.6902832384,135530.781976417,146958.827387251,3400.46246289495,19214.7569333248,11377083.5227157,321276.35438443,221953.188054883,33745.4889190629,2216038.7382209,1492592.67108916,21919.201220269,17392.0909816504,23882.7937383439,4820.92947520282,1820.13250564641,660.017424460006,180.001296009331,540.011664251948,360.005184074651,960.036865415632,500.010000200004,420.007056118543,240.002304022119,200.0016000128,180.001296009331,1800.12960933187,500.010000200004,192782407.44917,13907.7326993809,5401.16665199683,2500.2500250025,
545.82559,17311.9798900839,9536.97009793068,1516871.09406489,2083125.69603633,7337590.559652,49458896.1106036,66275.2317126482,5401.16665199683,7356462.48419749,781382.129583414,67079.5047547236,18713.9980705568,77841.6203896896,132700.659482065,255076.270330336,4600.84655576626,24924.8251258253,11385680.0853168,246302.931398726,178464.959633885,25125.2257266295,1578214.36924582,1355850.3662409,25125.2257266295,16170.4525805481,26788.6745972889,4520.81736377937,1900.14441097523,520.010816224977,200.0016000128,720.020736597214,800.025600819226,780.024336759307,560.012544280992,440.007744136297,240.002304022119,220.001936017037,280.003136035124,1560.09735007464,1200.05760276493,243525407.805848,16310.634533716,4600.84655576626,4400.77453631839,
546.94855,13941.1031748361,7802.43435952017,2472584.66740354,3107693.96715851,12925005.9711827,59516594.6244864,64063.7469371714,5001.00020004001,5864542.95320648,606673.303916387,47188.9038949381,16110.3750815525,71604.502459023,183740.57120753,269167.168680788,5401.16665199683,17812.6826300326,9868386.7862145,192978.213112441,157587.125755734,27830.9480141918,1873860.54831275,1900000.86080003,34647.952766629,12766.5160297816,32482.14883633,4040.65296951987,2300.21161946899,360.005184074651,420.007056118543,560.012544280992,620.015376381334,600.014400345608,660.017424460006,300.003600043201,300.003600043201,240.002304022119,240.002304022119,1400.07840439065,400.006400102402,339174023.431444,21117.8234429859,6201.53798141939,3300.43565750679,
548.07171,12706.4548790786,8302.75651516303,2466975.09496689,3513732.94433809,9346833.98067264,57457538.2358175,69995.4272328341,6101.48876325823,5140820.47069322,561744.906055475,49297.0165285281,23021.1794851263,83276.4779066501,167312.292118,217882.504841833,5101.04061228491,22520.2682414173,7652192.94763902,189322.951301986,185871.733392436,41067.3504547458,2762170.30756686,1759833.70368943,28332.0719053969,10804.6676164103,32241.5270868879,3500.49006860961,2000.16001280102,500.010000200004,540.011664251948,360.005184074651,700.019600548815,740.021904648378,640.016384419441,460.00846415574,300.003600043201,100.0004000016,420.007056118543,1480.08762118717,500.010000200004,253251508.808794,18012.9693379233,7702.37233067785,1400.07840439065,
549.1946,10537.773248462,12606.3536022155,2296390.76202788,2783829.54488432,8023434.13880283,51517952.4992725,56427.0737701303,5101.04061228491,5586374.75881032,857325.483738845,80458.109615647,19515.221873061,85793.4134740814,146958.827387251,160017.71265247,4900.9605882753,15509.6159618964,8804132.33619261,314302.378329337,259363.140729005,34748.2305439951,2152899.06072692,1757771.52716235,23622.2994506814,13587.3806651773,28552.5727750217,4600.84655576626,1800.12960933187,660.017424460006,320.004096052429,660.017424460006,420.007056118543,660.017424460006,440.007744136297,320.004096052429,340.004624062887,320.004096052429,260.002704028122,2040.16647758457,500.010000200004,369421507.756207,17311.9798900839,5201.0818250196,2500.2500250025,
550.31749,15576.3655502826,11405.2007715518,1583640.64021913,2105207.23557244,6468418.86387851,39322003.1202335,56929.3434683601,4000.64010241639,7364548.76891831,731389.000963383,67984.3736212609,15609.7404780583,74823.2726455744,122295.333684376,164576.329192922,4700.88376614804,23522.1107841371,12292617.4397377,242122.438429415,191759.674643385,31940.756405173,1709629.99683758,1231627.36819132,21217.9928579435,15689.840668067,23461.997969296,5441.18400163876,1880.14138663227,540.011664251948,240.002304022119,400.006400102402,300.003600043201,680.018496503105,540.011664251948,440.007744136297,200.0016000128,220.001936017037,460.00846415574,1880.14138663227,100.0004000016,170553782.993857,13607.4024269202,6101.48876325823,3100.38444767151,
551.44047,15743.2410797195,8402.82334864514,1502253.75165904,2337508.92314327,8514491.5940421,82403798.3293064,78143.4951308277,4400.77453631839,5936510.88722176,693202.606318472,44980.7854907414,12005.7627661277,74420.8811753284,129972.216302718,259771.490003193,5401.16665199683,18213.259252736,10085879.8200235,242836.083119611,192978.213112441,25325.6295370915,1672584.42406422,1259621.52532688,33745.4889190629,14168.0247692293,28552.5727750217,4500.81014582625,2080.17307039946,540.011664251948,460.00846415574,620.015376381334,440.007744136297,620.015376381334,540.011664251948,300.003600043201,240.002304022119,300.003600043201,360.005184074651,1280.06553935562,1900.14441097523,202491263.592181,23822.6791905894,9203.38684635946,3900.60849492521,
552.56354,11738.842763537,7902.49718911176,1940235.78094355,4168712.48490753,8186301.52812386,55398481.8471485,66878.4316556573,4500.81014582625,5692305.08865305,590631.781517422,51606.3089965329,10804.6676164103,84887.2584827055,175523.751596128,203442.185319902,4500.81014582625,18713.9980705568,7710649.57332681,182421.461063947,164981.619497425,30437.0114058695,3135501.06233931,1712027.25054172,26828.7604311822,11965.7244025542,32762.8800574192,3520.49568579256,2120.1797912463,400.006400102402,360.005184074651,420.007056118543,680.018496503105,460.00846415574,480.009216176951,320.004096052429,300.003600043201,320.004096052429,380.005776087797,1340.07182784997,1100.04840212969,252044368.613393,21718.8519635043,8302.75651516303,1900.14441097523,
553.68663,10671.219720414,10737.9434904052,2068932.6611576,2593700.1825542,7580663.99999543,38926030.7377971,52911.7496151873,4900.9605882753,4808474.16866758,582147.34498242,81464.597011092,18113.1138944596,76030.5245504369,144733.083629371,166298.903152029,4900.9605882753,16310.634533716,7679701.94796268,213507.985622249,236312.833371693,32642.5659059413,2048665.95979486,1537137.13118687,23021.1794851263,11985.7435683179,27550.3274004024,4520.81736377937,2200.1936170383,480.009216176951,380.005776087797,540.011664251948,440.007744136297,680.018496503105,720.020736597214,460.00846415574,160.001024006554,280.003136035124,260.002704028122,1540.09486984398,600.014400345608,238731336.744113,15609.7404780583,5101.04061228491,1700.11560786133,
554.80966,14441.6709913857,10938.1169364736,1776571.99898892,2119182.40962012,6299822.47091303,39638781.0261825,56025.2725093309,4300.73972723308,8135980.33128439,751851.043052975,55623.4841347792,14908.8856958747,73716.727177903,115228.669133987,142002.027451043,2900.33643902693,17211.841747122,14072965.5544351,223378.237672831,191251.985070656,30837.992406645,1584206.00420243,1222382.58665973,22520.2682414173,14908.8856958747,23221.549598027,4200.70571856072,1800.12960933187,560.012544280992,160.001024006554,600.014400345608,340.004624062887,760.023104702383,500.010000200004,500.010000200004,340.004624062887,240.002304022119,220.001936017037,1580.0998623113,800.025600819226,216045723.500541,12706.4548790786,5201.0818250196,1600.10240655402,
555.9328,15309.3693340324,9370.17735978413,1490346.91758323,2203008.43510886,6376754.80556718,53339425.4584796,67280.5810796177,5201.0818250196,5750526.33864294,618323.864800833,63762.2110649492,11405.2007715518,72710.8614983452,124719.105640399,190845.848145551,5201.0818250196,18012.9693379233,9733420.75337651,217984.255908069,146857.648668222,25425.8326459683,1581266.37406009,1219852.41369473,24223.4482979524,12826.5774689261,24924.8251258253,3580.51272942285,1680.11290358712,720.020736597214,300.003600043201,880.030977090394,400.006400102402,660.017424460006,520.010816224977,280.003136035124,200.0016000128,280.003136035124,240.002304022119,1320.06969968014,600.014400345608,186022422.354925,13307.0793662228,7902.49718911176,2300.21161946899,
557.05566,14475.0428914865,7235.42678348269,1526324.72465675,3253513.52047101,8524312.74314688,52230702.7876579,60747.2513372415,4100.67251029169,5127882.41513991,530107.144753665,38659.6905622281,13807.6218072376,75125.0747238727,204052.005032745,170251.581698609,3400.46246289495,17512.2585810067,10066107.7260409,177247.824685788,149792.162117572,26027.0681508769,1984901.40796422,1817013.57155423,30336.7681630136,13006.7635170289,28412.2535902757,3940.6210418762,1920.14746732549,340.004624062887,260.002704028122,540.011664251948,380.005776087797,580.013456312186,680.018496503105,340.004624062887,240.002304022119,160.001024006554,300.003600043201,940.035345328984,700.019600548815,412180137.963304,18213.259252736,7902.49718911176,2400.23042212052,
558.1786,8969.88386501292,9470.25273570259,1980545.02795986,2629148.02976829,7430891.47614746,78364880.0284558,55121.2667869312,3200.40965243551,4554564.82843388,531775.826923155,48493.8841597332,26027.0681508769,77338.5119709183,145744.736492712,183334.676444516,3300.43565750679,16110.3750815525,7485419.63317678,192572.020524892,218798.293998733,47891.5686793148,2148535.06504789,1689099.74463869,25526.0365572884,9983.98560705434,28793.1236094003,3700.5476810568,2360.2228050328,400.006400102402,300.003600043201,300.003600043201,400.006400102402,560.012544280992,640.016384419441,420.007056118543,220.001936017037,240.002304022119,300.003600043201,1240.06150705075,900.032401166442,248655753.636303,17011.567866149,4600.84655576626,2000.16001280102,
559.30177,9570.32891253053,10804.6676164103,1717051.46345321,2118376.77672889,6407036.6819736,41856226.367826,57130.2569859279,4800.92177698118,5252411.19984052,843853.504633286,57331.1737254839,17712.5404786589,75628.0943325068,143822.665647504,152322.464847114,3100.38444767151,15409.4922472243,8784360.24220997,272947.836635665,184349.437885321,36051.9147572504,2038836.42152897,1462083.01049592,19314.911111378,10984.8245349357,26488.0349361764,3640.53006117691,1540.09486984398,460.00846415574,280.003136035124,240.002304022119,520.010816224977,840.028224948358,440.007744136297,520.010816224977,180.001296009331,340.004624062887,240.002304022119,1460.08526897971,400.006400102402,186022422.354925,11905.6670975384,5201.0818250196,1900.14441097523,
560.42497,12873.2921210116,9970.64162912948,1398486.20520705,1880448.66694479,6234348.14354779,40589114.7440297,59440.9940378578,5901.39272868397,5376131.35606904,629039.136567923,54116.8924877736,16110.3750815525,72811.4444346382,113714.901072054,156574.519811306,5801.34591225164,19815.6940296715,8647674.89685174,227552.523764354,181914.147803734,29033.6790677186,1584997.55418023,1216882.83360459,22620.4488857928,13006.7635170289,23321.7358578195,3000.36004320518,960.036865415632,200.0016000128,140.00078400439,160.001024006554,180.001296009331,240.002304022119,260.002704028122,80.0002560008192,120.000576002765,80.0002560008192,60.0001440003456,260.002704028122,200.0016000128,48132522.3202604,3200.40965243551,1000.04000160006,1000.04000160006,
561.548,2166.85446071993,2000.16001280102,327843.607657519,517286.430519491,1519571.44372547,17305938.6567734,29735.3255667733,3900.60849492521,1016842.26300738,142002.027451043,8903.16952835209,2600.27042812453,70799.9390278146,40866.6944453348,32241.5270868879,700.019600548815,6001.44034568296,1586015.33055988,35550.4816839913,34848.5091247016,4000.64010241639,338728.117474398,278569.839632753,4800.92177698118,2060.16975798806,4140.68569755151,420.007056118543,240.002304022119,80.0002560008192,40.0000640001024,60.0001440003456,40.0000640001024,20.0000160000128,100.0004000016,20.0000160000128,40.0000640001024,0,20.0000160000128,60.0001440003456,0,9805821.11627824,1600.10240655402,200.0016000128,100.0004000016,
562.67106,566.679511402259,833.361112037068,76734.808514053,108468.584284107,363406.893976901,6377100.90153065,23522.1107841371,3600.51847466035,207304.875294421,60646.7651717156,1100.04840212969,800.025600819226,59943.3845759056,20016.0128102482,9603.68781612139,0,5301.12383825371,355381.02038167,9803.84310649775,7202.07419736884,900.032401166442,68185.4644633403,53715.1653144341,1500.09000540032,400.006400102402,800.025600819226,100.0004000016,60.0001440003456,0,0,0,0,0,20.0000160000128,0,0,0,0,60.0001440003456,0,7098378.10659312,300.003600043201,300.003600043201,100.0004000016,
563.79416,333.337777837038,700.019600548815,35049.0686961746,42873.3992595323,149286.162661559,6852267.76045424,22620.4488857928,1900.14441097523,110687.912317496,47590.4218014227,1600.10240655402,500.010000200004,66174.7012111976,21919.201220269,3000.36004320518,100.0004000016,7001.96054895371,116742.619696349,3000.36004320518,1500.09000540032,400.006400102402,25726.4467872973,24724.4277346018,0,160.001024006554,260.002704028122,40.0000640001024,20.0000160000128,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,858502.2755482,0,0,0,
564.9171,66.6668444449185,266.669511141452,11905.6670975384,14708.648685427,30737.7459520291,4555627.94232352,23421.922919853,2900.33643902693,33344.4147604609,37355.7347562563,600.014400345608,200.0016000128,63661.7007198284,18012.9693379233,1000.04000160006,0,4500.81014582625,36753.9548056547,700.019600548815,700.019600548815,0,8102.62525058119,5301.12383825371,0,100.0004000016,120.000576002765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414769.03057905,100.0004000016,0,0,
566.04026,100.0004000016,466.675377940388,7202.07419736884,4700.88376614804,12506.2531265633,6218711.94855611,17912.8255831175,3000.36004320518,19815.6940296715,35349.9140786791,100.0004000016,100.0004000016,63058.6555774328,16510.8971921468,200.0016000128,0,5501.21026625858,17011.567866149,100.0004000016,200.0016000128,0,1200.05760276493,3500.49006860961,0,20.0000160000128,0,40.0000640001024,0,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,338522.66277467,0,0,0,
567.16325,33.333377777837,400.006400102402,7302.132222609,800.025600819226,9103.31360615264,5268378.23070892,20817.3200102485,2900.33643902693,13907.7326993809,35751.0525029742,100.0004000016,0,62958.150874998,15809.9919148902,200.0016000128,0,4700.88376614804,1700.11560786133,100.0004000016,200.0016000128,100.0004000016,1000.04000160006,800.025600819226,0,0,20.0000160000128,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,0,76231.74450329,100.0004000016,0,0,
568.28628,66.6668444449185,766.690178498807,4700.88376614804,9003.24116682005,7302.132222609,5981128.51909431,22119.5536854579,2800.31363512713,11505.2924345199,38960.6227289663,0,300.003600043201,64968.3980878437,16310.634533716,100.0004000016,0,5101.04061228491,800.025600819226,100.0004000016,400.006400102402,0,300.003600043201,300.003600043201,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6001.44034568296,100.0004000016,0,0,
569.40927,133.334044448237,366.67204452332,4600.84655576626,300.003600043201,5901.39272868397,4793211.37178532,23021.1794851263,1900.14441097523,13807.6218072376,35851.3391176164,100.0004000016,0,62053.6448245857,18012.9693379233,100.0004000016,0,5301.12383825371,400.006400102402,0,200.0016000128,100.0004000016,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
570.53219,66.6668444449185,400.006400102402,4700.88376614804,700.019600548815,7602.31110257518,5585156.13665798,21919.201220269,3000.36004320518,12606.3536022155,37054.8411649241,100.0004000016,0,63862.7222162069,19815.6940296715,100.0004000016,0,3500.49006860961,100.0004000016,0,100.0004000016,0,400.006400102402,100.0004000016,0,0,20.0000160000128,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,
