Time,7Li,11B,23Na,24Mg,27Al,28Si,31P,35Cl,39K,44Ca,49Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,75As,107Ag,118Sn,121Sb,137Ba,139La,140Ce,141Pr,143Nd,147Sm,151Eu,157Gd,159Tb,163Dy,165Ho,167Er,169Tm,171Yb,175Lu,178Hf,181Ta,207Pb,209Bi,232Th,238U,
,dwell time=0.03;xcal factor=73312.10865,dwell time=0.03;xcal factor=75018.26876,dwell time=0.01;xcal factor=80136.7491,dwell time=0.01;xcal factor=80563.28912,dwell time=0.01;xcal factor=81842.90921,dwell time=0.0001;xcal factor=79194.47649,dwell time=0.01;xcal factor=77409.40446,dwell time=0.01;xcal factor=79136.12583,dwell time=0.01;xcal factor=80862.84721,dwell time=0.01;xcal factor=83021.24893,dwell time=0.01;xcal factor=84482.58645,dwell time=0.01;xcal factor=84881.61368,dwell time=0.01;xcal factor=85081.12729,dwell time=0.01;xcal factor=85679.66813,dwell time=0.01;xcal factor=85774.59228,dwell time=0.01;xcal factor=85869.51643,dwell time=0.01;xcal factor=85893.54382,dwell time=0.01;xcal factor=85965.62601,dwell time=0.01;xcal factor=86566.6987,dwell time=0.01;xcal factor=87139.0755,dwell time=0.01;xcal factor=87724.36904,dwell time=0.01;xcal factor=87842.53053,dwell time=0.01;xcal factor=87814.36864,dwell time=0.01;xcal factor=87940.42295,dwell time=0.05;xcal factor=88059.77389,dwell time=0.05;xcal factor=88119.44936,dwell time=0.05;xcal factor=88082.29883,dwell time=0.05;xcal factor=88007.99776,dwell time=0.05;xcal factor=87859.39564,dwell time=0.05;xcal factor=87710.79352,dwell time=0.05;xcal factor=87487.89033,dwell time=0.05;xcal factor=87413.58927,dwell time=0.05;xcal factor=87264.98715,dwell time=0.05;xcal factor=87190.68608,dwell time=0.05;xcal factor=87135.91067,dwell time=0.05;xcal factor=87081.13525,dwell time=0.05;xcal factor=87026.35984,dwell time=0.05;xcal factor=86916.809,dwell time=0.05;xcal factor=86834.64588,dwell time=0.01;xcal factor=86752.48275,dwell time=0.001;xcal factor=86224.29967,dwell time=0.01;xcal factor=86353.42158,dwell time=0.01;xcal factor=87838.32355,dwell time=0.01;xcal factor=88225.68928,
10.14038,33.333377777837,466.675377940388,1800.12960933187,200.0016000128,9303.46088745013,4318044.51286172,23321.7358578195,2600.27042812453,9703.76506084361,87102.4196008542,0,100.0004000016,40666.0416516423,12906.6598364756,100.0004000016,0,2500.2500250025,0,0,100.0004000016,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.26344,66.6668444449185,500.010000200004,4500.81014582625,200.0016000128,8602.95941803981,4872405.84827259,22420.0883992057,2400.23042212052,10204.1632986258,92642.0343909715,0,0,43575.8219301585,11805.5722300926,500.010000200004,0,1900.14441097523,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
12.38646,0,233.335511131437,1700.11560786133,400.006400102402,7702.37233067785,4951600.32475985,21117.8234429859,3000.36004320518,10004.0016006403,84484.5439440034,0,100.0004000016,41870.0066511207,11705.4781637806,0,0,1500.09000540032,0,0,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
13.50933,33.333377777837,566.679511402259,2000.16001280102,600.014400345608,8402.82334864514,3922072.13042539,23722.4889194957,1900.14441097523,9103.31360615264,84383.8673296971,0,200.0016000128,41268.0096799526,12306.0545788528,200.0016000128,0,2900.33643902693,200.0016000128,0,100.0004000016,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14.63225,33.333377777837,533.344711353842,2800.31363512713,200.0016000128,9203.38684635946,4238850.03637445,19815.6940296715,2000.16001280102,10104.0820491479,76936.0397700144,0,0,41368.3404985035,12806.5569571621,100.0004000016,0,1700.11560786133,100.0004000016,0,0,100.0004000016,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.75517,66.6668444449185,666.684444918531,2100.17641481884,0,7402.19104855037,4238850.03637445,22720.6303323418,3400.46246289495,9203.38684635946,71503.9292060958,200.0016000128,200.0016000128,42271.354045629,13707.5117164206,200.0016000128,0,2700.2916314962,0,0,100.0004000016,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
16.87828,66.6668444449185,600.014400345608,2400.23042212052,100.0004000016,8102.62525058119,5189183.75422165,24824.6260290208,2800.31363512713,10804.6676164103,80860.6948802941,0,100.0004000016,43977.2240053534,11205.0198488923,100.0004000016,0,1600.10240655402,0,100.0004000016,400.006400102402,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
18.00119,0,300.003600043201,2300.21161946899,200.0016000128,8903.16952835209,4872405.84827259,21518.505915087,2400.23042212052,9203.38684635946,87706.6223517417,100.0004000016,100.0004000016,41970.3422936842,12105.8592358702,0,0,1000.04000160006,0,0,0,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19.12411,66.6668444449185,666.684444918531,1900.14441097523,100.0004000016,6301.58800017604,6931462.23694151,23321.7358578195,2000.16001280102,9903.92195309342,75929.915784997,0,0,44780.0667593657,12406.1534521122,200.0016000128,0,2300.21161946899,0,0,100.0004000016,0,200.0016000128,0,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,0,0,0,0,0,0,
20.2472,0,566.679511402259,2200.1936170383,200.0016000128,7802.43435952017,4872405.84827259,20216.3347985172,2400.23042212052,9703.76506084361,78747.266416548,0,300.003600043201,44177.9298682877,11405.2007715518,200.0016000128,0,1900.14441097523,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
21.3702,66.6668444449185,700.019600548815,1700.11560786133,500.010000200004,7001.96054895371,5268378.23070892,21418.3340939844,2400.23042212052,8102.62525058119,72811.4444346382,0,0,49096.2286080718,13206.9732818928,200.0016000128,0,2400.23042212052,0,0,100.0004000016,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,0,0,20.0000160000128,0,0,0,0,0,100.0004000016,0,0,
22.49309,66.6668444449185,466.675377940388,1700.11560786133,0,8302.75651516303,5347572.70719618,21318.1630749398,2300.21161946899,9003.24116682005,75527.4887962543,0,200.0016000128,46385.9066992069,14608.5313823273,0,0,2200.1936170383,0,100.0004000016,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23.61598,233.335511131437,666.684444918531,2400.23042212052,300.003600043201,7202.07419736884,6297906.42504338,20216.3347985172,2700.2916314962,9003.24116682005,79854.2559509478,0,200.0016000128,48995.8358549322,13307.0793662228,100.0004000016,0,3200.40965243551,100.0004000016,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
24.73906,66.6668444449185,400.006400102402,2500.2500250025,300.003600043201,6401.6388195378,4872405.84827259,23522.1107841371,3200.40965243551,9803.84310649775,77137.2742556103,0,200.0016000128,44980.7854907414,12706.4548790786,200.0016000128,0,1400.07840439065,200.0016000128,0,200.0016000128,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25.86207,66.6668444449185,400.006400102402,1800.12960933187,300.003600043201,5901.39272868397,4397238.98934899,25526.0365572884,2600.27042812453,7802.43435952017,78948.529972353,0,0,44679.7086001427,14608.5313823273,0,0,2300.21161946899,0,0,300.003600043201,0,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26.9851,33.333377777837,400.006400102402,1400.07840439065,500.010000200004,7902.49718911176,5030794.80124712,21819.0261908384,1800.12960933187,9103.31360615264,78646.6358500257,100.0004000016,100.0004000016,43676.1712426472,13206.9732818928,300.003600043201,0,2400.23042212052,100.0004000016,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28.10809,166.667777785185,533.344711353842,1900.14441097523,300.003600043201,6601.74286011507,4555627.94232352,20717.1538033492,1600.10240655402,8602.95941803981,74119.0960479176,0,0,45683.3263873305,14408.2991803279,300.003600043201,0,2000.16001280102,100.0004000016,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29.23108,33.333377777837,800.025600819226,2500.2500250025,300.003600043201,7402.19104855037,6297906.42504338,23822.6791905894,2400.23042212052,9303.46088745013,73515.5475855207,0,300.003600043201,47088.5264296878,11905.6670975384,200.0016000128,0,2300.21161946899,0,100.0004000016,100.0004000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
30.35407,33.333377777837,533.344711353842,2600.27042812453,300.003600043201,7202.07419736884,7881795.95478871,19114.6035571176,2500.2500250025,9703.76506084361,72006.8035397662,0,100.0004000016,46988.1497689666,13407.186251831,0,0,2200.1936170383,0,100.0004000016,100.0004000016,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0004000016,0,0,
