Analytes,Color,LineWidth,Linestyle,Marker,MarkerSize,MarkerFaceColor,MarkerEdgeColor
Mg25,black,2,-,none,0,none,none
Si29,black,2,-,none,0,none,none
Ca43,blue,2,-,none,0,none,none
Fe57,black,2,-,none,0,none,none
Ba137,cyan,2,-,none,0,none,none
Cl35,blue,2,-,none,0,none,none
S34,#FFB442,2,-,none,0,none,none
Na23,blue,2,-,none,0,none,none
K39,blue,2,-,none,0,none,none
Rb85,cyan,2,-,none,0,none,none
La139,magenta,1,-,none,0,none,none
Ce140,magenta,1,-,none,0,none,none
