S ,276000
V,63
Cr,37
Mn,260
Fe,156000
Co,67
Cu,134000
Zn,210000
Ga,50
Ge,50
As,65
Se,53
Mo,61
Ag,67
Cd,70
In,50
Sn,55
Sb,55
Au,47
Hg,57
Bi,7
