Analytes,Color,LineWidth,Linestyle,Marker,MarkerSize,MarkerFaceColor,MarkerEdgeColor
Mg25,#E377C2,2,-,none,0,none,none
K39,#FF7F0E,2,-,none,0,none,none
Sr88,#2CA02C,2,-,none,0,none,none
Cu65,#D62728,2,-,none,0,none,none
S34,#9467BD,2,-,none,0,none,none
Cl35,#8C564B,2,-,none,0,none,none
Ta181,#1F77B4,2,-,none,0,none,none
Ag109,#BCBD22,2,-,none,0,none,none
Si29,black,2,-,none,0,none,none
Au197,#FF9896,2,-,none,0,none,none
Pb208,#17BECF,2,-,none,0,none,none
Ca43,#003F5C,2,-,none,0,none,none
