Ag,23,3
As,27,8
Au,4,
B,50,20
Ba,67,1
Be,46,5
Bi,35,4
Cd,18,4
Ce,41.4,0.4
Cl,145,
Co,40,2
Cr,42,3
Cs,32,2
Cu,42,2
Dy,51.2,0.5
Er,40.1,0.4
Eu,41,2
Ga,54,7
Gd,50.7,0.5
Ge,32,8
Hf,39,2
Ho,49,2
In,38,5
Ir,12,
La,39.1,0.4
Li,43,6
Lu,51.5,0.5
Mn,220,20
Mo,39,3
Nb,42,3
Nd,44.7,0.5
Ni,58,4
P,860,160
Pb,50,2
Pr,45,1
Pt,6,
Rb,37.3,0.4
Sb,43,7
Sc,52,2
Se,2,1
Sm,47.8,0.5
Sn,29,6
Sr,69.4,0.7
Ta,40,4
Tb,47,2
Th,41,2
Tl,0.9,0.1
Tm,49,2
U,41,2
V,44,2
W,43,4
Y,42,2
Yb,50.9,0.5
Zn,54,2
Zr,42,2
Na,26707,1484
Mg,21715,241
Al,70913,1588
Si,248710,3740
K,24905,830
Ca,51458,715
Ti,7434,360
Fe,103381,777
