Age,337,,
206Pb/238U,0.05368,0.000027,
207Pb/235U,0.394,0.0005,
208Pb/232Th,0.01681,0.00168,
207Pb/206Pb,0.05325,0.000048,
206Pb/208Pb,31.2138,,
206Pb/204Pb,51930,, 
Pb,39,,
Th,78,,
U,755,,
176Hf/177Hf,0.282482,0.000013,
